Price,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,^GSPC,^IXIC,^NDX,^GSPC,^IXIC,^NDX,^GSPC,^IXIC,^NDX,^GSPC,^IXIC,^NDX,^GSPC,^IXIC,^NDX,^GSPC,^IXIC,^NDX
Date,,,,,,,,,,,,,,,,,,
2014-01-02,1831.97998046875,4143.06982421875,3563.570068359375,1831.97998046875,4143.06982421875,3563.570068359375,1845.8599853515625,4160.9599609375,3577.030029296875,1827.739990234375,4131.7900390625,3553.64990234375,1845.8599853515625,4160.02978515625,3575.60009765625,3080600000,1738820000,1738820000
2014-01-03,1831.3699951171875,4131.91015625,3538.72998046875,1831.3699951171875,4131.91015625,3538.72998046875,1838.239990234375,4152.9599609375,3567.510009765625,1829.1300048828125,4124.9599609375,3537.610107421875,1833.2099609375,4148.56005859375,3564.93994140625,2774270000,1667480000,1667480000
2014-01-06,1826.77001953125,4113.68017578125,3526.9599609375,1826.77001953125,4113.68017578125,3526.9599609375,1837.1600341796875,4139.77978515625,3542.52001953125,1823.72998046875,4103.75,3512.449951171875,1832.31005859375,4137.02978515625,3539.02001953125,3294850000,2292840000,2292840000
2014-01-07,1837.8800048828125,4153.18017578125,3557.85009765625,1837.8800048828125,4153.18017578125,3557.85009765625,1840.0999755859375,4158.18017578125,3562.989990234375,1828.7099609375,4126.47998046875,3535.5,1828.7099609375,4128.56982421875,3539.2900390625,3511750000,2278220000,2278220000
2014-01-08,1837.489990234375,4165.60986328125,3567.5400390625,1837.489990234375,4165.60986328125,3567.5400390625,1840.02001953125,4171.75,3575.14990234375,1831.4000244140625,4145.0,3551.1201171875,1837.9000244140625,4154.27978515625,3558.300048828125,3652140000,2345220000,2345220000
2014-01-09,1838.1300048828125,4156.18994140625,3552.580078125,1838.1300048828125,4156.18994140625,3552.580078125,1843.22998046875,4182.740234375,3579.39990234375,1830.3800048828125,4142.7001953125,3541.81005859375,1839.0,4179.0400390625,3576.330078125,3581150000,2214770000,2214770000
2014-01-10,1842.3699951171875,4174.669921875,3565.080078125,1842.3699951171875,4174.669921875,3565.080078125,1843.1500244140625,4174.68017578125,3568.469970703125,1832.4300537109375,4142.2099609375,3536.449951171875,1840.06005859375,4168.93994140625,3565.679931640625,3335710000,2143070000,2143070000
2014-01-13,1819.199951171875,4113.2998046875,3512.800048828125,1819.199951171875,4113.2998046875,3512.800048828125,1843.449951171875,4179.47021484375,3572.39990234375,1815.52001953125,4097.990234375,3499.3701171875,1841.260009765625,4167.41015625,3559.389892578125,3591350000,2322240000,2322240000
2014-01-14,1838.8800048828125,4183.02001953125,3580.64990234375,1838.8800048828125,4183.02001953125,3580.64990234375,1839.260009765625,4183.83984375,3581.60009765625,1821.3599853515625,4125.81005859375,3525.469970703125,1821.3599853515625,4129.60009765625,3526.199951171875,3353270000,2034180000,2034180000
2014-01-15,1848.3800048828125,4214.8798828125,3609.840087890625,1848.3800048828125,4214.8798828125,3609.840087890625,1850.8399658203125,4218.7900390625,3615.699951171875,1840.52001953125,4195.97998046875,3592.6201171875,1840.52001953125,4196.52978515625,3593.81005859375,3777800000,2101870000,2101870000
2014-01-16,1845.8900146484375,4218.68994140625,3611.2900390625,1845.8900146484375,4218.68994140625,3611.2900390625,1847.989990234375,4219.27978515625,3614.659912109375,1840.300048828125,4204.16015625,3599.8701171875,1847.989990234375,4209.58984375,3605.429931640625,3491310000,2005850000,2005850000
2014-01-17,1838.699951171875,4197.580078125,3591.25,1838.699951171875,4197.580078125,3591.25,1846.0400390625,4217.240234375,3608.719970703125,1835.22998046875,4187.31005859375,3580.389892578125,1844.22998046875,4207.81982421875,3597.409912109375,3626120000,2150370000,2150370000
2014-01-21,1843.800048828125,4225.759765625,3617.699951171875,1843.800048828125,4225.759765625,3617.699951171875,1849.31005859375,4227.93017578125,3617.699951171875,1832.3800048828125,4193.169921875,3586.050048828125,1841.050048828125,4222.97998046875,3611.6298828125,3782470000,2034030000,2034030000
2014-01-22,1844.8599853515625,4243.0,3627.719970703125,1844.8599853515625,4243.0,3627.719970703125,1846.8699951171875,4246.5498046875,3634.64990234375,1840.8800048828125,4225.52001953125,3615.47998046875,1844.7099609375,4234.580078125,3623.31005859375,3374170000,2026910000,2026910000
2014-01-23,1828.4599609375,4218.8798828125,3613.760009765625,1828.4599609375,4218.8798828125,3613.760009765625,1842.2900390625,4224.43994140625,3613.8798828125,1820.06005859375,4192.27978515625,3588.830078125,1842.2900390625,4224.35986328125,3612.530029296875,3972250000,2191980000,2191980000
2014-01-24,1790.2900390625,4128.169921875,3541.47998046875,1790.2900390625,4128.169921875,3541.47998046875,1826.9599609375,4197.93017578125,3601.0,1790.2900390625,4128.169921875,3541.3798828125,1826.9599609375,4194.97021484375,3596.929931640625,4618450000,2489470000,2489470000
2014-01-27,1781.56005859375,4083.610107421875,3509.02001953125,1781.56005859375,4083.610107421875,3509.02001953125,1795.97998046875,4136.4599609375,3548.47998046875,1772.8800048828125,4052.6298828125,3482.889892578125,1791.030029296875,4132.22021484375,3543.5,4045200000,2398280000,2398280000
2014-01-28,1792.5,4097.9599609375,3505.719970703125,1792.5,4097.9599609375,3505.719970703125,1793.8699951171875,4099.81005859375,3509.800048828125,1779.489990234375,4067.68994140625,3483.7099609375,1783.0,4067.860107421875,3484.389892578125,3437830000,2091180000,2091180000
2014-01-29,1774.199951171875,4051.429931640625,3467.820068359375,1774.199951171875,4051.429931640625,3467.820068359375,1790.1500244140625,4091.27001953125,3500.820068359375,1770.449951171875,4044.760009765625,3461.639892578125,1790.1500244140625,4060.610107421875,3472.419921875,3964020000,2231850000,2231850000
2014-01-30,1794.18994140625,4123.1298828125,3532.409912109375,1794.18994140625,4123.1298828125,3532.409912109375,1798.77001953125,4135.83984375,3544.2099609375,1777.1700439453125,4094.169921875,3508.010009765625,1777.1700439453125,4098.81005859375,3514.25,3547510000,2168410000,2168410000
2014-01-31,1782.5899658203125,4103.8798828125,3521.919921875,1782.5899658203125,4103.8798828125,3521.919921875,1793.8800048828125,4124.919921875,3539.43994140625,1772.260009765625,4067.610107421875,3488.0400390625,1790.8800048828125,4068.6298828125,3488.3701171875,4059690000,2300570000,2300570000
