contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
AAPL250214C00285000,2025-02-04 18:19:34+00:00,285.0,0.01,0.0,0.0,0.0,0.0,7.0,498,0.500005,False,REGULAR,USD,Call
AAPL250214C00290000,2025-02-07 18:48:29+00:00,290.0,0.01,0.0,0.0,0.0,0.0,1.0,398,0.500005,False,REGULAR,USD,Call
AAPL250214C00295000,2025-02-03 15:26:50+00:00,295.0,0.01,0.0,0.0,0.0,0.0,11.0,48,0.500005,False,REGULAR,USD,Call
AAPL250214C00300000,2025-02-10 14:45:08+00:00,300.0,0.01,0.0,0.0,0.0,0.0,1.0,247,0.500005,False,REGULAR,USD,Call
AAPL250214C00305000,2025-02-10 14:30:05+00:00,305.0,0.01,0.0,0.0,0.0,0.0,1.0,84,0.500005,False,REGULAR,USD,Call
AAPL250214C00310000,2025-01-30 18:47:47+00:00,310.0,0.03,0.0,0.0,0.0,0.0,213.0,226,0.500005,False,REGULAR,USD,Call
AAPL250214C00315000,2025-02-10 14:30:05+00:00,315.0,0.01,0.0,0.0,0.0,0.0,1.0,1052,0.500005,False,REGULAR,USD,Call
AAPL250214C00320000,2025-01-29 18:13:39+00:00,320.0,0.02,0.0,0.0,0.0,0.0,102.0,120,0.500005,False,REGULAR,USD,Call
AAPL250214C00325000,2025-02-10 15:05:25+00:00,325.0,0.01,0.0,0.0,0.0,0.0,1.0,32,0.500005,False,REGULAR,USD,Call
AAPL250214C00330000,2025-02-10 18:46:28+00:00,330.0,0.01,0.0,0.0,0.0,0.0,10.0,101,0.500005,False,REGULAR,USD,Call
