contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
AAPL250228P00100000,2025-02-03 14:30:11+00:00,100.0,0.03,0.0,0.01,0.0,0.0,1,31,1.9375003125,False,REGULAR,USD,Put
AAPL250228P00110000,2025-02-20 14:30:01+00:00,110.0,0.01,0.0,0.01,0.0,0.0,1,41,1.75000125,False,REGULAR,USD,Put
AAPL250228P00120000,2025-02-20 14:30:01+00:00,120.0,0.02,0.0,0.01,0.0,0.0,1,24,1.5625021874999998,False,REGULAR,USD,Put
AAPL250228P00130000,2025-02-21 20:15:20+00:00,130.0,0.01,0.0,0.01,0.0,0.0,1,58,1.40625296875,False,REGULAR,USD,Put
AAPL250228P00140000,2025-02-13 20:18:11+00:00,140.0,0.01,0.0,0.01,0.0,0.0,8,113,1.2500037499999999,False,REGULAR,USD,Put
AAPL250228P00145000,2025-02-21 19:24:41+00:00,145.0,0.01,0.0,0.01,0.0,0.0,150,131,1.1875040625,False,REGULAR,USD,Put
AAPL250228P00150000,2025-02-21 20:33:42+00:00,150.0,0.01,0.0,0.01,-0.01,-50.0,12668,296,1.09375453125,False,REGULAR,USD,Put
AAPL250228P00155000,2025-02-20 17:12:33+00:00,155.0,0.01,0.0,0.1,0.0,0.0,1,148,1.2773473632812498,False,REGULAR,USD,Put
AAPL250228P00160000,2025-02-19 15:06:40+00:00,160.0,0.01,0.0,0.13,0.0,0.0,3255,605,1.23047259765625,False,REGULAR,USD,Put
AAPL250228P00165000,2025-02-21 20:13:58+00:00,165.0,0.04,0.0,0.13,0.02,100.0,10,801,1.1484417578125,False,REGULAR,USD,Put
AAPL250228P00170000,2025-02-21 20:43:20+00:00,170.0,0.01,0.0,0.03,0.0,0.0,1162,247,0.92187578125,False,REGULAR,USD,Put
AAPL250228P00175000,2025-02-21 20:22:08+00:00,175.0,0.01,0.0,0.04,-0.01,-50.0,273,168,0.87500125,False,REGULAR,USD,Put
AAPL250228P00180000,2025-02-21 19:47:44+00:00,180.0,0.02,0.0,0.07,0.01,100.0,274,754,0.85937640625,False,REGULAR,USD,Put
AAPL250228P00185000,2025-02-21 19:38:54+00:00,185.0,0.01,0.01,0.07,-0.01,-50.0,282,1460,0.8007832421875,False,REGULAR,USD,Put
AAPL250228P00190000,2025-02-21 20:21:24+00:00,190.0,0.01,0.01,0.05,-0.01,-50.0,4,993,0.710940390625,False,REGULAR,USD,Put
AAPL250228P00195000,2025-02-21 20:30:42+00:00,195.0,0.03,0.02,0.04,0.0,0.0,488,1260,0.6445348046875,False,REGULAR,USD,Put
AAPL250228P00200000,2025-02-21 20:48:47+00:00,200.0,0.05,0.03,0.07,0.010000002,25.000006,4770,1914,0.6152382226562501,False,REGULAR,USD,Put
AAPL250228P00205000,2025-02-21 20:58:31+00:00,205.0,0.07,0.05,0.07,0.030000001,75.00001,821,1026,0.5625043750000001,False,REGULAR,USD,Put
AAPL250228P00207500,2025-02-21 20:13:47+00:00,207.5,0.06,0.06,0.08,0.02,50.0,145,349,0.5390671093750001,False,REGULAR,USD,Put
AAPL250228P00210000,2025-02-21 20:49:42+00:00,210.0,0.08,0.07,0.08,0.029999997,59.999996,1751,2453,0.5097705273437501,False,REGULAR,USD,Put
AAPL250228P00212500,2025-02-21 19:50:15+00:00,212.5,0.07,0.08,0.1,0.02,39.999996,2640,495,0.49609878906250005,False,REGULAR,USD,Put
AAPL250228P00215000,2025-02-21 20:51:31+00:00,215.0,0.1,0.09,0.1,0.030000001,42.857143,2807,1906,0.46094289062500005,False,REGULAR,USD,Put
AAPL250228P00217500,2025-02-21 20:57:56+00:00,217.5,0.12,0.1,0.12,0.049999997,71.428566,586,1648,0.43848217773437503,False,REGULAR,USD,Put
AAPL250228P00220000,2025-02-21 20:59:37+00:00,220.0,0.14,0.12,0.14,0.060000002,75.00001,1318,3168,0.41309180664062495,False,REGULAR,USD,Put
AAPL250228P00222500,2025-02-21 20:50:20+00:00,222.5,0.14,0.14,0.16,0.060000002,75.00001,921,580,0.38623660644531244,False,REGULAR,USD,Put
AAPL250228P00225000,2025-02-21 20:54:16+00:00,225.0,0.18,0.17,0.18,0.080000006,80.00001,1237,3171,0.35742830078125,False,REGULAR,USD,Put
AAPL250228P00227500,2025-02-21 20:59:47+00:00,227.5,0.23,0.21,0.23,0.09,64.28572,2754,1273,0.3354558642578125,False,REGULAR,USD,Put
AAPL250228P00230000,2025-02-21 20:59:48+00:00,230.0,0.3,0.28,0.3,0.13000001,76.4706,9604,6312,0.3139717041015625,False,REGULAR,USD,Put
